,Month,All Traded Marketplaces,Toronto Stock Exchange
0,2015-01-01,18307681613.0,8575986689.0
1,2015-02-01,16464744576.0,7388265545.0
2,2015-03-01,18152541991.0,7934869765.0
3,2015-04-01,17408114695.0,7235530711.0
4,2015-05-01,14813059377.0,6264372877.0
5,2015-06-01,15210642407.0,6570936538.0
6,2015-07-01,14909782615.0,6439188171.0
7,2015-08-01,14469770172.0,6712646477.0
8,2015-09-01,14892318047.0,7129074849.0
9,2015-10-01,16338548687.0,7857992677.0
10,2015-11-01,14447448294.0,6738876106.0
11,2015-12-01,15752598172.0,7396933616.0
12,2016-01-01,16706878557.0,8201667961.0
13,2016-02-01,18480240502.0,9080339343.0
14,2016-03-01,22608973731.0,11088228683.0
15,2016-04-01,21584332165.0,9401074925.0
16,2016-05-01,19981182151.0,8602700432.0
17,2016-06-01,21514904237.0,9203294675.0
18,2016-07-01,17207679522.0,7025905819.0
19,2016-08-01,18290810206.0,7220439512.0
20,2016-09-01,19242975590.0,7840360207.0
21,2016-10-01,18758982406.0,6993778951.0
22,2016-11-01,22491097510.0,8700897202.0
23,2016-12-01,19457392118.0,7845032781.0
24,2017-01-01,20593388511.0,8132888557.0
25,2017-02-01,21331923437.0,7793541924.0
26,2017-03-01,23615275515.0,8890320475.0
27,2017-04-01,17934098393.0,6540179451.0
28,2017-05-01,19613064753.0,7638168772.0
29,2017-06-01,19571790601.0,7888118601.0
30,2017-07-01,14056469374.0,5173322262.0
31,2017-08-01,15968504942.0,6021691952.0
32,2017-09-01,17729779598.0,6432135264.0
33,2017-10-01,18697378642.0,6004758796.0
34,2017-11-01,25801830425.0,7538564096.0
35,2017-12-01,24713971890.0,6345295399.0
36,2018-01-01,33873188410.0,8624277945.0
37,2018-02-01,22683676062.0,7451818011.0
38,2018-03-01,21758979986.0,7182102371.0
39,2018-04-01,19714260030.0,6562744923.0
40,2018-05-01,20260251591.0,7092322699.0
41,2018-06-01,20196128023.0,6842312224.0
42,2018-07-01,16347046992.0,5465196978.0
43,2018-08-01,20217865527.0,6795116775.0
44,2018-09-01,26036020990.0,8008090157.0
45,2018-10-01,28225586059.0,9476474807.0
46,2018-11-01,24108793811.0,8582090441.0
47,2018-12-01,22687631442.0,8434986573.0
48,2019-01-01,23829329478.0,8237816700.0
49,2019-02-01,21952143437.0,7256463406.0
50,2019-03-01,24577059319.0,8490460499.0
51,2019-04-01,22228775241.0,7082271578.0
52,2019-05-01,21275769120.0,7446633645.0
53,2019-06-01,18160847972.0,6693939763.0
54,2019-07-01,18416781632.0,6062458596.0
55,2019-08-01,19941005856.0,7205053184.0
56,2019-09-01,19584114339.0,7355104819.0
57,2019-10-01,18178749325.0,6571636171.0
58,2019-11-01,18608627932.0,7126657713.0
59,2019-12-01,19035688151.0,6994731186.0
60,2020-01-01,21498648479.0,7432829871.0
61,2020-02-01,21729486654.0,7863764290.0
62,2020-03-01,38240179804.0,17080866782.0
63,2020-04-01,29856382063.0,11861355321.0
64,2020-05-01,27834027791.0,10559654515.0
65,2020-06-01,30213594722.0,11515133140.0
66,2020-07-01,28069590115.0,8309393032.0
67,2020-08-01,24376390601.0,7753067146.0
68,2020-09-01,24886970602.0,8609495227.0
69,2020-10-01,22782232803.0,7337454255.0
70,2020-11-01,28205041877.0,9762849821.0
71,2020-12-01,35308477022.0,9380626675.0
72,2021-01-01,42495262497.0,9828258617.0
73,2021-02-01,54753391247.0,12113806831.0
74,2021-03-01,44122981473.0,12043983818.0
75,2021-04-01,29320874427.0,7878537897.0
76,2021-05-01,29277646248.0,8682412501.0
77,2021-06-01,28579427774.0,8616874731.0
78,2021-07-01,21741125478.0,6256494206.0
79,2021-08-01,21576472079.0,6429009165.0
80,2021-09-01,26503656368.0,8542713147.0
81,2021-10-01,24692501216.0,7390672042.0
82,2021-11-01,29790462313.0,9365521569.0
83,2021-12-01,24474421610.0,8247947967.0
84,2022-01-01,25755124017.0,8468976276.0
85,2022-02-01,23579673316.0,8576431622.0
86,2022-03-01,31281352861.0,11460184555.0
87,2022-04-01,23743485674.0,8149605304.0
88,2022-05-01,25187663090.0,9724987329.0
89,2022-06-01,23927610803.0,9567310325.0
90,2022-07-01,18254497708.0,7213159376.0
91,2022-08-01,20209459745.0,7864773517.0
92,2022-09-01,19959113706.0,8029460475.0
93,2022-10-01,19187144549.0,7140908415.0
94,2022-11-01,22723370894.0,8634492240.0
